text,sentiment,source,label
"""“التقيم”. الايجابيات : الموقع - الفطور متنوع - خدمة التكاسي متوفرة طوال اليوم سواء عن طريق الفندق او تكاسي دبي - طلبت غرفتين تؤام متصلة وعند الوصول لم احصل ما طلبت وتم ترقيت حجزي الى غرفة تؤام والاخرى سويت وكان رائع كذلك الغرف تتنظف بشكل يومي والحمامات نظيفة ومتكاملة بشكل عام انصح بالسكن بة .. الميني بار غالي البيبسي والماكولات الخفيفة ب18 درهم لأي قطعة تؤكل او تشرب ،، الانترنت غالي الساعة ب30 وساعتين ب50 واليوم 90 واليومين 150 والاسبوع 450 درهم ،، ولا يوجد انترنت مجاني كما هو معلن في الموقع! لا تتوافر الشرفة (بلكونة) في جميع انواع الغرف""",neutral,HARD,1
“التعامل من قبل الموظفين كان جيدا جدا”. . الطريق للحرم متعب بسبب الزحام وكثرة الارتفاع ونقول الطرق.,neutral,HARD,1
جيد. الأثاث ديكورات الغرف. المواقف المدخل الطرق المجاورة,neutral,HARD,1
“تجربة سيئة جداً”. سيء جدا. كل شيء.. لا مقارنة مع ما ذكر في صفحة الحجز,negative,HARD,0
“إقامة سعيدة”. أعجبني الموقع والنظافة وموظفين الفندق. مكان ألعاب الأطفال مقابل رسوم إضافية والمفروض أن يكون مجاني للنزلاء الأسعار مبالغ فيها الغرفة ضيقة,positive,HARD,2
“رائع جدا”. نظافة الاثاث. المصعد قديم,neutral,HARD,1
“رائع.”. انصح كل من يزور جده ان يقيم فيها. كل شي رايع,positive,HARD,2
ليس من عاداتي قراءة الشعر، لكن أمل دنقل شاعر من طراز مختلف، لم يغرق أشعاره بفتوحات العشق والغرام، ولما تناول هذا الجانب تناوله بطريقة مختلفة وجميلة . . شعره ينضح بهم الوطن والإنسان . . أحب قصيدة إلى قلبي وعقلي قصيدة كلمات سبارتاكوس الأخيرة,positive,LABR,2
استثنائي. الموظفون ودودين وتعاملهم ممتاز وخاصة الأستاذ مازن العمري. عدد موظفي الاستقبال قليل جدا,positive,HARD,2
“كل شيء كان ممتعاً حتى الطاقم كان متفهماً معنا”. كان كل شيء نظيفاً وتوفر تلفاز مع بعض القنوات الممتعة. مل شيء كان جيداً,positive,HARD,2
“جيد جدا”. كل شي عجيب. لاشي,positive,HARD,2
ضعيف. . النظافة والخدمات .,negative,HARD,0
كما قال أ.أشرف : قرأتها من باب أداء الواجب و إلا فالسلسلة فقدت طعمها منذ زمن بالرغم من ذلك أحيي الدكتور نبيل فاروق فهو ممن ساعد في غرس عادة القراءة في نفسي حتى و إن لم تكن في الداية قراءة جادة,negative,LABR,0
ضعيف. . الإزعاج من مواقف التاكسي والأصوات العالية.,negative,HARD,0
مخيب للأمل. . اخذو وقت كثير عندما طلبت سرير اضافي و كلما اتصل يسكرون لانهم مشغولين والدنيا ونحن نبا نرقد. ومايوفرون فرش اسنان. ونحن بلاد مسلمين ماعندهم رش مياه للمرحاض. ومايوفرون ماء بس 2 صغار. واخذو ضرائب زيادة على سرير اضافي و هو فندق وحيد الذي ﻻ يوفر الانترنت. بخل بكل شيء حتى بالفوط,negative,HARD,0
ضعيف. . النظافه وخصوصا نظافة الأسرة,negative,HARD,0
“لايستحق ٣ نجوم”. موقع الفندق جيد لقربه من الاسواق. رائحة الغرفة مكتومة كذلك رائحة رطوبة الشبابيك مقفلة الفندق يحتاج تطوير موظفين الاستقبال غير مبتسمين وغير مرحبين بالضيوف,negative,HARD,0
"""جيد. الموقع. المصاعد تتأخر بشكل كبير جداً حتى تتخيل انها متعطلة ، لايوجد لوحة عند المصاعد تحدد وجودها في اي دورالموكيت يحتاج اعادة نظرلا يوجد انترنت مجاني في الغرف واسعارها مبالغ بها بشكل كبير""",neutral,HARD,1
“فندق بسيط ورائع”. طاقم الفندق والمكان رائعين. راحة المكان,positive,HARD,2
“جيد”. الاجهزه.,neutral,HARD,1
ضعيف. مساحة الغرف. السرير غير مريح الباب لا يوجد به قفل,negative,HARD,0
رائع. الموقعالموظفين. عدم توفر اغطية سرير مغلفة ونظيفةالسعر,neutral,HARD,1
رائع. . بعد الفندق عن الحرم,neutral,HARD,1
“ممتع”. الموقع وطقم العمل. مساحة  الجلوس بصالة المعيشة قليلة حيث عدد  المقاعد فقط لسبعة أشخاص مع ان مساحة الصالة كبيرةتم إطفاء نظام تدفئة ماء المسبح رغم برودة الجو,neutral,HARD,1
وصف الشخصيات اللى فى الرواية . لازم تخليك تعرفها . قابلتها فى يوم . ممكن تشوفها فى حياتك . ممكن تكون شوفتها ومتكلمتش معاها بس متأكد لو كلمته هايطلع اللى فى دماغك . روعه ياد/أحمد كالعادة,positive,LABR,2
“اقامتي ممتعة ورائعة”. استقبال الموظفين وابتسامتهم. قلة مواقف السيارات,neutral,HARD,1
“اقامه محبطه. سيئه نادم علي اقامتي بهذا الفندق”. لايوجد بالفندق اي شيئ يدعو للاعجاب منتهي السؤ من ناحيه النظافه او التعامل .فندق سيئ جدا جدا جدا. المقابله سيئه. الخدمات في منتهي السؤ. النظافه اقصي درجات السؤ. الحمامات سيئه جدا.,negative,HARD,0
“لم يعجبني”. غير ذلك الفندق متكامل. جري الاطفال في انحاء الفندق واصوات الناس المرتفعه دون احترام للضيوف .. وعدم توبيخ الفندق لهم..ولا توجد خدمة صف السيارات كما هو مكتوب ولا يوجد موظفين لحمل الشنط للغرف..,neutral,HARD,1
"رائع جدًا, في البداية لم يثيرني كثيرًا لأني وجدت فيه اعادة لما كُتِب في كتابه رحلتي من الشك إلى الإيمان, لكن ما إن وصلت لموضوع المرأة والروح والضمير بدأت استمتع وأنبهر, ثم جاء ذكر أحرف القرآن (حم, الم, ق, كهيعص.) التي شرح الدكتور بعضًا من معناها المثير والمذهل جدًا وسبب ذكرها بهذا الشكل والترتيب. وكذلك ما كُتب في تحضير الأرواح وتفسيرها, وما ذُكر في إعجاز الله في خلقه يدعو إلى التفكر والتأمل, كخجل الجمل من رؤية أحد له أثناء التزواج والأسد الذي ضرب سيده من الخلف خطأً فقضم يده حتى انتحر, والباعوضة التي أتقنت مبدأ أرخميدس, وبذور الصحاري وطيرانها سبحان الله العظيم ووصف الجنين والإنسان الذي سبق آدم ولم يكن ذا سمع ولا بصر ولا فؤاد, والكثيير من المعلومات المذهلة ذات اليقين. كتاب رااائع أنصح بقراءته بشدة",positive,LABR,2
“افضل اقامه في مكه”. المواقف المجانيه تعامل افراد الفندق الفطور شي خرافي الذهاب الئ الحرم و العوده من دون اي تزاحم عكس باقي الفنادق.,positive,HARD,2
"لطالما همت إعجابا بهذا العقاد.لشد ما يجذبنى إسلوبه دائما .أشعر برقى بمجرد التفكير به .وسارة من أعمق الفلسفات التى مست علاقة جدلية ومعقدة بين قطبى الحياة ""المرأة والرجل"" بشكل جديد ومميز للغاية لم يكن تكرار أبدا.وأعجبنى إسلوب الكاتب المهذب فى عرض قضايا شتى داخل الرواية.وكيف كان يدير الحوار ببراعة واصفا مشاعر الأنثى حينا والرجل حينا آخر.العقاد حقا أديب لن يتكرر .",positive,LABR,2
استثنائي. موقعه قريب من مترو الرقة والفندق جديد ونظيف. اللوبي صغير نوعا ما,positive,HARD,2
“لن تتكرر”. لاشئ فندق سيئ للغايه. السعر سعة الغرف الخدمه الاثاث كل مافيه سيئ,negative,HARD,0
“فندق فاشل”. لاشئ. الطاقم نصب ولعب بالاسعار,negative,HARD,0
“الفندق لا يستحق خمسه نجوم”. . لايوجد وأي فأي في الغرفة التلبيس الطلبات الا بعد وقت ليس بالقصير النظافة لا تتم الا بعد الحاح,neutral,HARD,1
“رحلتي على مكه”. حسن المعاملة سرعة الدخول النظافه الترتيب. بعد الموقع عن الحرم,neutral,HARD,1
“اراحة والامان”. التعامل الجيد من قبل المدير راجيش وطاقم الاستقبال. وقت الدخول يجب ان يكون متناسب مع وقت الوصول احيانا تصل الساعة السابعة او الثامنه وانت حجز لا يمكن الدخول الا في وقت متاخر وانت قادم متعب ومجهد تحتاج الى راحة بعد مشور الطريق ارجو تغير هذه السياسة للفندقوشكرا,neutral,HARD,1
“تجربه سيئه”. الموقع. خدمة الشنطقمة في التخلف زباله بالعربي,negative,HARD,0
“ممتاز ورائع”. خدمات متميزة  وانصح بلسكن فيه ًً وأحب اشكرا الاستاذ عبده على رحابه صدره وأخلاقه العالية.,positive,HARD,2
جيد. قربه من الحرم. العمال المتواجدون عند باب الفندق لزحمه المطاعم,neutral,HARD,1
“تقيمي للفندق انا راضي جدا”. الخدمات والراحه. لا يوجد,positive,HARD,2
رائع. العشاء. ضيق الغرفة ..,neutral,HARD,1
جيد. الغرف كبيرة. تعامل موظفي الاستقبل والدخول الى مواقف السيارت كل ماتجي يخرج السكرتي ويطالع فيك وفالسياره ولابد انه يعطلك شوي بالاضافه الى ازعاج المراقص مافي نوم الا الفجر,neutral,HARD,1
“مكان مناسب جدا للعوائل المحافظه”. المكان بعيد جدا عن الضوضاء والاماكن الغير لائقه. طاقم العمل ليس سريع الاستجابه ولا توجد به الخدمات المفروض تواجدها في الغرفه الا بطلب,neutral,HARD,1
“فندق مستحيل اسكن فيه مرة اخرى”. . سوء المعامله في الفندق بشكل عام وخصوص خدمه الاستقبال وخصوصا المكيفات لا تعمل بالشكل الصحيح في الغرف,negative,HARD,0
“فندق عائلي بالدرجه الأولى”. * سرعة الوصول للفندق* قربه من مركز الحمرا للتسوق* الهدوء المطلق في أرجاء المكان*وجود منطقه مغلقه ومكيفه ومجهزه للعب الأطفال (بلاي هوتيل)* يمتاز الفندق بأجواءه العائليه وخلوه من فئة الشباب المتسكعين* الإفطار كان به تشكيله كبيره تناسب جميع الأذواق. * وجود بعض الحشرات وهذا أمر طبيعي لأن الفندق مليئ بالأشجار والمسطحات الخضراء* يوجد مكانين فقط لتقديم الأرجيله الأول لونج بار والثاني مطعم الجزيره* قد يكون مطعم الجزيره أسوأ شئ في الفندق لأنه قائمة الطعام لديه تكاد تخلو من الطعام والعصائر معلبه وليست طازجه ولا يقدمون القهوه  التركيه والحق يقال انه المطعم يقوم بتقديم الشاي,neutral,HARD,1
ممتاز. . حجم السويت صغير جدا مقابل السعر,positive,HARD,2
“فندق جميييييل”. الموقع / الراحه/ تعامل الاستقبال. لايوجد شامبو بدورة المياه,neutral,HARD,1
“الامتياز”. نظافة الشاطىء وتنوع الخدمات الترفيهية. عدم وجود ستارة كامله المطلة على البحر مما يؤدي دخول النهار بسرعة إلى الغرفة,positive,HARD,2
مخيب للأمل. . فرش الاسرة قديم..السعر مرتفع عدم وجود عدد كاف من الموظفين..لا مواقف..,negative,HARD,0
"""“اقامه سيئه”. لم يعجبني شيء. مستاء من جميع ما رأيت ،لا يستحق ولا ريال واحدجميع الموجود في الموقع صور ليست صحيحهاتمنى حذفه من موقع بوكينق""",negative,HARD,0
استثنائي. الفندق يقع في منطقة هادئةز خدمة صف السيارة ممتاز. الافطار مميز.,positive,HARD,2
“جيد جدا”. الراحه والهدو والسكون. بخصوص المصاعد كثرة الانتضار,positive,HARD,2
وغاب صوت الكمان,positive,LABR,2
“الأمل”. السرائر جيدهالحجرة منظمة. الأجهزة من ثلاجة و تكييف غير جيدهالحمام غير جيد,negative,HARD,0
مخيب للأمل. . الفندق سيء للغاية وخصوصا من ناحية النظافة,negative,HARD,0
“جيدة”. الموقع - النظافة. مواقف السيارات - عدم دخول الزوار عدم تقديم اي مساعده لحجز اي مكان اخر مثلامطعم - مقهى - ملهى وعدم التنسيق معاهمعدم وجود سجادة صلاة - قلة علب المناديل,neutral,HARD,1
اسوء ما قرأت ليوسف زيدان,negative,LABR,0
“لا انصح بالسكن فيه”. مقبول. الطاقم,negative,HARD,0
جيد. قربه من مول الامارات وايضاً قوة النت. نوع الاثاث فيه يوحي انه قديم لابد من تغير الاستايل الخاص بالأثاث تغير الالوان في الغرف,neutral,HARD,1
“نيارة الخبر عنوان الفخامه”. شقق نيارة الخبر كمستوى لا تقارن الا بافخم الفنادق كموقع وخدمات ومستوى رفاهيه فخم بمعنى الكلمة واروع تعامل من الموظفين وعلى راسهم المدير محمد سلمان رجل بقمة الاحترام ويعجز الوصف عن الشكر في كل شي. لا يوجد,positive,HARD,2
جيد. . عدم وجود مكيف في غرقة الجلوس !,neutral,HARD,1
“نتمنى لكم من الأفضل الى الأفضل”. موظفو الاستقبال في قمة الروعه والاحترماكل المطعم نظيف ولذيذ. رائحة الحمام وعمال حمل الحقائب لم يكونو متعاونين,positive,HARD,2
استثنائي. . الواي فاي غير متوفر في الغرف مجاناً,positive,HARD,2
“للاسف غير مقبول”. الموقع قريب من الخدمات ولكن بعيد عن الحرم. الغرفة سيئة جدا الاكل لا ينطبق علية بوفية,negative,HARD,0
عبارة عن مقالات انشائية سطحية، فيها نوع من النظرة المتعالية، والمثالية الزائدة.أما كون الكتاب تجاوز الطبعة الثانية عشر، فهذه ميزة تقرر بشكل أو بآخر بطلان رأيي وسخفة.,negative,LABR,0
“٥من١٠”. الهدوووء. جدران الغرفة متهالك وخاصة غرفة ٢٠٧عدم الاستجابة من قبل الاستقبال والرد على الهاتف,negative,HARD,0
“هادئ موقع ممتاز”. الموقع مناسب للعائلات هادئ. الواي فاي برسوم في الغرف,neutral,HARD,1
“ليله جميله”. توفر المواقف الخارجيه المظلله. لا شي,positive,HARD,2
استثنائي. فندق أكثر من رائع من جميع النواحي والموظفين اسلوبهم جدا راقي في التعامل واشكر جاكلين في الكونسيرج ثانكس للجميع. الموقع صعب الوصول اليه,positive,HARD,2
رائع. الموقع.,neutral,HARD,1
ضعيف. الموقع جيد .. لايوجد اماكن من اجل موقف السياره.عدم مصداقية موظفي الاستقبال مثلا متي ستصبح الغرفه خاليه ان اتيت مبكرا.او ان المقاتيح الالكترونيه تعمل في نفس الوقت .ويتطلب في كل مره خروح وعوده ان تعيد برمجه المفتاح من الاستقبال .او ارسال شخص يفتح لك الباب لانه لا يعمل بالكارت .ايضا ان يقوم احد من الموظفين بفتح الباب اثناء نومك من اجل وضع طبق فاكهه ؟!,negative,HARD,0
ضعيف. الموقع جميل الافطار كان بوفية جميل مع اطلالة على البحر و كذلك جلسات على البحر. سعر البوفيه مبالغ فيه الخدمات سيئة جداً الاثاث وسخ و قديم الحمامات تحتاج إلى ترميم توقيت الدخول و الخروج الفلل قديمه جدا تحتاج إلى ترميم,negative,HARD,0
“فندق رائع جدا”. 1- ذكرت لهم أن الرحلة بمناسبة ذكرى زواج فأبدوا اهتماما شديدا وتفاعلا. فشكرا لإدارة وطاقم الفندق.2- التعامل أكثر من راقي. 3- الموقع مناسب.4- الغرفة واسعة ومرفهة..,positive,HARD,2
ممتاز. عجبني انه فندق محترم ما فيه اي شيء يتنافا مع الاخلاق. سوء التمديدات الكهربائيه في المطبخ,positive,HARD,2
“ما انصح غير لنفلس يسكنه”. السعر لا باس به هادء. النظافه سيئه لا يتم التنضيف بشكل يومي وطلبت التنضيف في الصباح  ولم ياتو وطلبت النتضيف في المساء ونضفو تنضيف سياء بنسبه للوجبات جيده ولاكن لا ياتو لاخذ الاطباق الا بعد معاناه  تتصل عشر مرات لين ايو اذا تطلب اي شي من برا لازم انت تنزل تاخذه لا يخلو الي جايبه يصعد ولا ايبعثو مع الكسامر سيرفس وخدمة صف السيارات ضعيفه تطلع يقولك السابق مو موجود يعطيك المفتاح  ويقولك سيارتك تحت ورح دور,negative,HARD,0
استثنائي. ارضية الغرفة تحتاج تنظيف. الاستقبال و الترحيب من الموظفين,positive,HARD,2
“سيكون خياري في المرة القادمة”. كل شيء. لا شيء,positive,HARD,2
“ممتاز”. كنسبه وتناسب سعر وجوده لفندق 4نجوم او 3نجوم ونص اعتبره ممتاز نعم يوجد صوت عالي لوجود صالة افراح لكن هذا لايعيبه كسعر يعتبر ممتاز للفنادق الاخري يبعد مول الظهران 5دقائق بالسياره. دورة المياه فقط,positive,HARD,2
“جيد جداً”. الموقع ممتاز قريب من مول الامارتسير على الاقدام المطاعم حولك وحواليكالاستقبال ممتازمدير الفندق كان ممتاز في تعامله معيويرشدك على الاماكن المميزه بصراحه كل شي ممتاز انصح السكن. تحديد جهازين لاستخدام النت في الشقه,neutral,HARD,1
استثنائي. كل شي جميل ومرتب. لا شي,positive,HARD,2
“الحمدلله كانت الاقامة مريحة و المسبح نظيف وشكرا”. الاطلالة كانت جميلة ومريحة. نعم موظف الاستقبال قلت له اريد ان ارى الغرفة لكن اخذ مني البطاقة بكل وقاحة وقال لموظفه خذه الى الغرفة بكل عصبية هذا تصرف غير لائق وسوف يؤثر على سمعة الفندق وشكرا,neutral,HARD,1
"""“انصح به :)”. بشاشة الموظفين. تكاسي الفندق كذابين وياخذون سعر اضعاف التكاسي العاديه ، خذ علينا ٦٠ درهم ويوم رجعنا خذنا تاكسي عادي طلع علينا ب ٢٠ درهم وغير هاي وصلنا مكان وقال لنا انه مفتوح واهوه مسكر ويفتح بعد ٤ ساعات واضطرينا نرجع الفندق وضاع علينا وقتنا وفلوسنا""",positive,HARD,2
“فندق مناسب جدا للعائلة”. موظفي الاستقبال خدمتهم ممتازه وخدمة الغرف رائعه. تأخر في مواعيد المغسلة,positive,HARD,2
“فرد”. الموقع المتميز. البرفيه لا توجد خيرات كثيره,neutral,HARD,1
رائع. الفندق جداُ مريح وطاقم العمل جداً  متعاون والفطور رائع جداً وساكرر الزيارة ان شاء الله. حصل التماس وطفاء الكهرب في غرفتي بسبب اني ركبت فيش محول من ثلاثي لثنائي المدخل والذي استلمته من خدمة الغرف في الفندق وتم تغيير الغرفة مباشرة من خدمة العملاء ولا اعلم سبب ذلك ولكن قد يكون انا السبب لتركيبي الفيش بطريقة غير سليمة,neutral,HARD,1
ممتاز. . لايشمل الافطار,positive,HARD,2
ضعيف. لاشئ. السرير قديم والتكيف تعبان الصراحه انا ماعجبني,negative,HARD,0
“اسرة واطفال”. المكان رائع والخدمة جيدة والصدق فى نوع الحجز. ارتفاع سعر اﻻفطار,neutral,HARD,1
“ممتاز”. رائع.,positive,HARD,2
جيد. قرب الموقع من الحرم. نظافة الصالون سيئة جدا خصوصا الفرش والكنب والطاولات وتحتاج الى تجديد,neutral,HARD,1
“قريب المطار”. ممتاز وفي توصيل للمطار. اذا حاجز عن طريق البوكيينج لا يحق لك استخدام موصلات المطار,neutral,HARD,1
"""“اجمل ما في هذا الفندق موقعه”. قرب الفندق من الحرم. حجزت بسعر غالي نزل للنصف بعد وصولي للفندق بيوم، وكان المفروض تعويضي""",neutral,HARD,1
ضعيف. ولا شي. كل شي بالفندق لا يعجبني,negative,HARD,0
“استجماام”. الهدووووووء والنظافه والموقع. عدم المام موظفة الاستقبال emmy الفلبينيه لعمها كانت سيئه للغايه. كذلك حجم الغرف نوعا ما صغيره,neutral,HARD,1
“الرضا الكامل”. الموقع جيد والاستقبال ممتاز وسرعة في الأداء والأمانه على الأغراض الشخصيه نسيت حقيبة السفر في الفندق وبعد اتصالي بهم وجدو الحقيبه والحمدللله كانت أغراضي كامله لم ينقص منها شيء وحوض السباحه جيد جدا. مناشف الحمام بحاجه إلى تجديد وكل شيء جيد,neutral,HARD,1
"كتاب رائع . مقالات اتكلمت عن الحال . بكل ما فيه . خلصتوا في يوم واحد,, :-)",positive,LABR,2
“سيء”. النوم غير مريح لوجود قاعة افراح واغاني. كان صوت الموسيقى عالي جدا عندما ذهبت الى الحرم في الباص ركبت باصين لين وصلت الحرم,negative,HARD,0
“سعر الفندق مبالغ فيه مقارنة بالخدمات الموجودة”. موقع الفندق جميل. اعمال صيانة في الفندق مزعجة ويعتبر الفندق من الداخل قديم من اثاث وارضيات وسعره عالي مقارنة  بالخدمات الموجوده حتي مناشف الجسم محسوبه بسعر لوحده في المسبح الخارجي وايضا الاكل غير جيد في الفندق.,negative,HARD,0
“التقليل من حرية النزيل”. الموقعالقرب من المطار. صغر الغرفعدم استقبال الضيوف والزوارعدم وجود خدمة واي فاي في الاسقبال او في ارجاء الفندق الأخرى وانقطاعها في فترات مهمهارتفاع الأسعار مقارنة بصغر الغرف,negative,HARD,0
“يقوم الفندق بالتلاعب في سعر صرف العملة. يرجى من موقع بوكينج التأكد من الأسعار و أن المبلغ المدفوع .”. . التلاعب بسعر صرف العملات.  يجب علىموقع بوكينج التأكد من الأسعار و أن المبلغ الخصوم من بطاقة الائتمان هو نفس المبلغ المعلن و بذات العملة.,positive,HARD,2
مخيب للأمل. . كنت معجبا يفندق الموفمبيك ولكن اتضح أن لديهم برج الحرم وبرج المدينة برج الحرم سبق أن سكنت فيه وكان جيدا وفوجئت بالسكن في برج المدينة ومستواه المتدني دون سابق إنذار,negative,HARD,0
جيد. . المسافه و البعد,neutral,HARD,1
مخيب للأمل. متوسط الموقع بين الدمام والخبر والظهران. قديم وتعامل الموظفين الهنود غير لبق,negative,HARD,0
رواية مضحكة,neutral,LABR,1
“جميل ملائم حسب السعر”. نضيف وقريب من الخدمات ودبي مول. محطة المترو بعيده مشياً على الاقدام الغرف صيقة لاتوجد مساحه كافيه,neutral,HARD,1
جيد. الفندق جيد الموقع قريب من السوق. الافطار عادي بسيط جدا غير منوع .أسواء شئ لا توجد مواقف للفندق والمواقف القريبه غاليه إن وجدت وإلا ظل أبحث لفتره طويله .,neutral,HARD,1
ضعيف جداً. . لا شي أعجبني,negative,HARD,0
“ممتاز”. الترتيب والنظافه والشاطئوالفطور كثير ماشاءالله وما يقطع زي بعض الفنادق ومنوعوالتكييف ممتاز والغرف واسعهوناوي ارجع ان شاءالله ثاني. عدم وجود مصدات للمياه في المروش مما يجعل مياه الاستحمام توصل الى باب الحمام,neutral,HARD,1
.عالم صوفي. بدايتي في عالم الفلسفة٫ آحببت تحريك الكاتب لتفكيري المتسائل عن كل مايدور حولي. فعلا رواية تستحق التكرار.,neutral,LABR,1
“مقبول”. السرير لاباس ولكن الفطور متكرر الفطور والسحور وبارد غير الزحمة وضيق المكان. معاملة الموظفين,negative,HARD,0
“عمرة ممتعة”. استقبال المدير المناوب لكن للاسف لم اتمكن من معرفة اسمه ولكن له مني كل الشكر والعرفان. انهم خصموا علي ليلة ولان السيارة تعطلت وانا في الطريق الى مكة,positive,HARD,2
“فندق فاق توقعاتي”. كل شيء في الفندق تقريباً ممتاز انصح فيه العوائل فالفندق محترم. بعض الازعاج بالتحسينات التي يقومون بها,positive,HARD,2
مخيب للأمل. الافطار فقط. كل شي,negative,HARD,0
استثنائي. السعر جدا مناسب. بوفيه الإفطار مميز جدا.. المدخل غير مرصوف.,positive,HARD,2
جيد. المكان. الزحمه وقت المواسم,neutral,HARD,1
جيد. الغرف واسعة ونظيفة. الافطار سئ,neutral,HARD,1
“جدا ممتاز وانصح فيه من ناحيه الموقع والراحه والفخامه”. بصراحه كان جدا مريح والموقع ممتاز وكل شي فيه ممتاز ويستاهل 5 نجوم بدل 4. لاشي,positive,HARD,2
“رائحة الغرفة كريهة جدّاً بسبب رائحة التدخين”. لا شيء. روائح كريهةالفندق قديم جدّاًلا أنصح أبداً به مستقبلاً,negative,HARD,0
"""“فندق رائع”. الفندق مطل على الكعبه ،والغرف والاستقبال ومكان الافطار تصميمه رائع ، والسرير مريح جدا ، واطلاله روعه على الكعبه ، وقريب من الحرم، وأخذنا الغرفه بسعر مغري ، وضابط المناوبة كان رائع ومتعاون معنا.. الفطور كطعم ونكهه ليس لذيذ بشكل عام ، والنَّاس اذواق لم يعجبني سوى الحمص والعدس والفول والباقي لا، والاسانسير يتأخر كثير بسبب الزحمه والتعطيل ، والشور للحمام متعطل وقديم ، والحمام ضيق وقديم .""",neutral,HARD,1
استثنائي. موظف الاستقبال شمس وجميع ايضا.,positive,HARD,2
بلغة سلسة جميلة يصف الكاتب العالم العربي كمراقب محايد ومن خارج الإطار الذي يحيط بالمشهد برمته ،، يحاول الدخول إلى عمق المشكلات التي يعانيها العربي في واقعه اليومي من خلال مشاهداته كمثقف ومستعرب ياباني ويحيل هذه المشاهد إلى تحليل وبحث عن أعماقها الحقيقية ،، للكاتب وجهة نظره الخاصة واختياراته الثقافية التي لا يخفيها لكنه بحس راق لا يحاول فرضها و يحاول أن يطرح رؤية شاملة قائمة على احترام التنوع الانساني,positive,LABR,2
“ممتعة بالقرب من الحرم”. راحة السرير وتعاون الموظفين في الفندق والمطعم الافطار مجاني. الماء يتجمع في ارضية الحماموالمواقف مكتوب بالوكنق متوفرة بالموقع وهي خارجية,neutral,HARD,1
استثنائي. . لا يوجد عمال لحمل الشنط والامتعه,positive,HARD,2
“فندق رائع”. . طريقة الوصول للفندق كانت غير واضحه,neutral,HARD,1
“شكر لكم من الاعماق فندق اوكس”. التعامل الراقي من الموظفين جمعيا بدون استثناءالموقع مميز قريب من المسجد البقالة قريبة بصراحة مميز جدا انصح به. الافطار نفس الشي المياة في دورة المياة اعزكم الله ترجع على الغرفة مافيه تصريف,positive,HARD,2
“مكان انصح فيه لمن يحب الهدواء لا يوجد فيه اشياء مخالفه للاسلام”. النظافة الهدواء التعامل الاستقبال اكثر من رائع. لا شي,positive,HARD,2
“مقبول”. مقبول. تبديل الغرفة بسبب هطول الامطار ودخول مياه الامطار لخلل في المبني,neutral,HARD,1
جيد جداً. موظف الاستقبال عمرو كان بشوش ومتعاون اعجبني هدوء الفندق وخلوه من البارات والمراقص ينفع للسكن بالعائلة.,neutral,HARD,1
“زيارة مميزة”. طاقم العمل كان قمة الاحترافية والاخلاق العالية وذلك يتمثل في الاخ المصري عبدالعظيم وزملاءه .. شكراً لكم.,positive,HARD,2
"""جيد. . اولا لم يعترفوا بي GENUES ولم يوافقوا على الخروج متأخر , لولا انني كان معي IHG لما كانوا موافقين ثانيا المشروب الترحيبي لم يعطوني هذا الا بعد ما طلبت به اثناء الخروج""",neutral,HARD,1
